id,name,brand,category,variant,price,rrPrice,discountPrice,discount,productParentStock,productChildStock,product_url
3YYPR,Mammut Neon Speed 15 L Climbing Backpack - Black,Mammut,Backpacks/Backpacks & Daypacks/Travel Backpacks,3YYPR-01,49.99,49.99,49.99,33,49,49,https://www.sierra.com/mammut-neon-speed-15-l-climbing-backpack-black~p~3yypr/?filterString=newproducts~14%2Factivities~d~14342%2F
1NXPF,"Deuter Freerider 28 SL Backpack - Internal Frame, Azure-Bay (For Women)",Deuter,Backpacks/Backpacks & Daypacks/Travel Backpacks,1NXPF-01,99.99,99.99,99.99,28,28,28,https://www.sierra.com/deuter-freerider-28-sl-backpack-internal-frame-azure-bay-for-women~p~1nxpf/?filterString=newproducts~14%2Factivities~d~14342%2F
3XVHA,Slumberjack 40°F Sky Pond Backpacking Sleeping Bag - Mummy,Slumberjack,Sleeping Bags & Pads,3XVHA-01-REG,24.99,24.99,24.99,37,49,49,https://www.sierra.com/slumberjack-40-f-sky-pond-backpacking-sleeping-bag-mummy~p~3xvha/?filterString=newproducts~14%2Factivities~d~14342%2F
3KCRV,Pack Venture Grand Canyon National Park Packable Camping Blanket - 78x53”,Pack Venture,Sleeping Bags & Pads,3KCRV-01,39.99,39.99,39.99,33,60,60,https://www.sierra.com/pack-venture-grand-canyon-national-park-packable-camping-blanket-78x53~p~3kcrv/?filterString=newproducts~14%2Factivities~d~14342%2F
4YHYK,RUMPL NanoLoft® Puffy Travel Blanket - 52x75”,RUMPL,Sleeping Bags & Pads,4YHYK-01-O/S,59.99,59.99,59.99,66,107,107,https://www.sierra.com/rumpl-nanoloft-puffy-travel-blanket-52x75~p~4yhyk/?filterString=newproducts~14%2Factivities~d~14342%2F
3URGK,Outdoor Products Kennebec 29 L Tactical Backpack - Black,Outdoor Products,Backpacks/Backpacks & Daypacks/Travel Backpacks,3URGK-01-O/S,24.99,24.99,24.99,28,50,50,https://www.sierra.com/outdoor-products-kennebec-29-l-tactical-backpack-black~p~3urgk/?filterString=newproducts~14%2Factivities~d~14342%2F
4WUMK,Allbirds Tree Flyer Running Shoes (For Men),Allbirds,Men's Running Shoes,4WUMK-01-8-M,49.99,49.99,49.99,68,12,5,https://www.sierra.com/allbirds-tree-flyer-running-shoes-for-men~p~4wumk/?filterString=newproducts~14%2Factivities~d~14342%2F
3VMNA,High Sierra Self-Inflating Sleeping Mat with Pillow,High Sierra,Sleeping Bags & Pads,3VMNA-01,29.99,29.99,29.99,33,30,30,https://www.sierra.com/high-sierra-self-inflating-sleeping-mat-with-pillow~p~3vmna/?filterString=newproducts~14%2Factivities~d~14342%2F
3JCWY,Eddie Bauer Tremont Thermal Hooded Shirt - Long Sleeve,Eddie Bauer,Men's Long Sleeve/Men's Long Sleeve Workout Shirts/Men's Sweatshirts & Hoodies,3JCWY-01-M,14.99,14.99,14.99,57,177,60,https://www.sierra.com/eddie-bauer-tremont-thermal-hooded-shirt-long-sleeve~p~3jcwy/?filterString=newproducts~14%2Factivities~d~14342%2F
4WUPN,Allbirds BOTY Reverse Dasher Running Shoes - Merino Wool (For Men),Allbirds,Men's Running Shoes,4WUPN-01-10-M,39.99,39.99,39.99,70,15,1,https://www.sierra.com/allbirds-boty-reverse-dasher-running-shoes-merino-wool-for-men~p~4wupn/?filterString=newproducts~14%2Factivities~d~14342%2F
3RTHC,Mad Man Dry Gear Waist Bag - Waterproof,Mad Man,Dry Bags/Fishing Tools & Bags/Ski & Snowboard Accessories,3RTHC-02,14.99,14.99,14.99,57,59,59,https://www.sierra.com/mad-man-dry-gear-waist-bag-waterproof~p~3rthc/?filterString=newproducts~14%2Factivities~d~14342%2F
3KCMJ,OCEAS Puffy Camping Blanket - 72x56”,OCEAS,Sleeping Bags & Pads,3KCMJ-02,29.99,29.99,29.99,49,35,35,https://www.sierra.com/oceas-puffy-camping-blanket-72x56~p~3kcmj/?filterString=newproducts~14%2Factivities~d~14342%2F
4PKFM,FUNDANGO Folding Camp Stool,FUNDANGO,Camp Furniture,4PKFM-01,19.99,19.99,19.99,33,50,50,https://www.sierra.com/fundango-folding-camp-stool~p~4pkfm/?filterString=newproducts~14%2Factivities~d~14342%2F
5AUGP,Osprey Straightjacket 32 L Compression Sack,Osprey,Health & Safety,5AUGP-01,12.99,12.99,12.99,56,33,33,https://www.sierra.com/osprey-straightjacket-32-l-compression-sack~p~5augp/?filterString=newproducts~14%2Factivities~d~14342%2F
4XVHV,FOUR LAPS Level Tech T-Shirt - Short Sleeve,FOUR LAPS,Men's Short Sleeve Workout Shirts,4XVHV-02-M,9.99,9.99,9.99,80,67,21,https://www.sierra.com/four-laps-level-tech-t-shirt-short-sleeve~p~4xvhv/?filterString=newproducts~14%2Factivities~d~14342%2F
3RKGJ,Speedo Big Girls Infinity Splice One-Piece Swimsuit - UPF 50+,Speedo,Girl's Swimwear/Girls' Swim,3RKGJ-01-16,12.99,12.99,12.99,48,58,56,https://www.sierra.com/speedo-big-girls-infinity-splice-one-piece-swimsuit-upf-50-plus-~p~3rkgj/?filterString=newproducts~14%2Factivities~d~14342%2F
3KNYK,KT Tape Pro Kinesiology Therapeutic Pre-Cut Strips - 15-Pack,KT Tape,Recovery Essentials,3KNYK-02,7.99,7.99,7.99,46,150,150,https://www.sierra.com/kt-tape-pro-kinesiology-therapeutic-pre-cut-strips-15-pack~p~3knyk/?filterString=newproducts~14%2Factivities~d~14342%2F
3HPCW,High Sierra Twin Flocked Inflatable Air Mattress,High Sierra,Sleeping Bags & Pads,3HPCW-01,24.99,24.99,24.99,21,49,49,https://www.sierra.com/high-sierra-twin-flocked-inflatable-air-mattress~p~3hpcw/?filterString=newproducts~14%2Factivities~d~14342%2F
3URGJ,Outdoor Products Kennebec 29 L Tactical Backpack - Grey,Outdoor Products,Backpacks/Backpacks & Daypacks/Travel Backpacks,3URGJ-01-O/S,24.99,24.99,24.99,28,50,50,https://www.sierra.com/outdoor-products-kennebec-29-l-tactical-backpack-grey~p~3urgj/?filterString=newproducts~14%2Factivities~d~14342%2F
4YCHF,Igloo BMX Cooler - 52 qt.,Igloo,Coolers,4YCHF-01,99.99,99.99,99.99,23,12,12,https://www.sierra.com/igloo-bmx-cooler-52-qt~p~4ychf/?filterString=newproducts~14%2Factivities~d~14342%2F
4YNAW,Montana Fly Company Bead Head Expoxy Back Copper Nymph Fly - Dozen,Montana Fly Company,Fishing Flies,4YNAW-02-14,14.99,14.99,14.99,58,12,11,https://www.sierra.com/montana-fly-company-bead-head-expoxy-back-copper-nymph-fly-dozen~p~4ynaw/?filterString=newproducts~14%2Factivities~d~14342%2F
4YNCF,Montana Fly Company Baltz’s Iron X-Caddis Dry Fly - Dozen,Montana Fly Company,Fishing Flies,4YNCF-01-14,14.99,14.99,14.99,54,14,14,https://www.sierra.com/montana-fly-company-baltzs-iron-x-caddis-dry-fly-dozen~p~4yncf/?filterString=newproducts~14%2Factivities~d~14342%2F
4VJRX,Hydro Flask Standard Mouth Insulated Water Bottle with Flex Cap - 24 oz.,Hydro Flask,Water Bottles,4VJRX-01,24.99,24.99,24.99,26,71,71,https://www.sierra.com/hydro-flask-standard-mouth-insulated-water-bottle-with-flex-cap-24-oz~p~4vjrx/?filterString=newproducts~14%2Factivities~d~14342%2F
5CDPU,Merrell Alverstone 2 Hiking Shoes (For Men),Merrell,Men's & Women's Hiking Shoes/Men's Hiking Shoes,5CDPU-01-8-W,39.99,39.99,39.99,42,2,2,https://www.sierra.com/merrell-alverstone-2-hiking-shoes-for-men~p~5cdpu/?filterString=newproducts~14%2Factivities~d~14342%2F
4YNCH,Montana Fly Company Baltz’s Hi-Vis Paranymph Dry Fly - Dozen,Montana Fly Company,Fishing Flies,4YNCH-01-12,14.99,14.99,14.99,54,10,10,https://www.sierra.com/montana-fly-company-baltzs-hi-vis-paranymph-dry-fly-dozen~p~4ynch/?filterString=newproducts~14%2Factivities~d~14342%2F
4XVHR,FOUR LAPS Radius T-Shirt - Sleeveless,FOUR LAPS,Men's Short Sleeve Workout Shirts/Men's Tank Tops/Men's Tank Tops/Men's Workout Tank Tops,4XVHR-01-M,9.99,9.99,9.99,75,26,14,https://www.sierra.com/four-laps-radius-t-shirt-sleeveless~p~4xvhr/?filterString=newproducts~14%2Factivities~d~14342%2F
3NGRC,High Sierra 40°F Classic Compressible Sleeping Bag - Rectangular,High Sierra,Sleeping Bags & Pads,3NGRC-01,24.99,24.99,24.99,37,50,50,https://www.sierra.com/high-sierra-40-f-classic-compressible-sleeping-bag-rectangular~p~3ngrc/?filterString=newproducts~14%2Factivities~d~14342%2F
